condition,run,seed,step,action,reward,score,info
simple,0,0,0,"('combine', 8, 15)",0,0,{'feedback': 'invalid combine'}
simple,0,0,1,"('combine', 12, 4)",0,0,{'feedback': 'invalid combine'}
simple,0,0,2,"('combine', 15, 6)",0,0,{'feedback': 'invalid combine'}
simple,0,0,3,"('combine', 14, 7)",0,0,{'feedback': 'invalid combine'}
simple,0,0,4,"('consume', 0)",1,1,{}
simple,0,0,5,"('combine', 11, 1)",0,1,{'feedback': 'invalid combine'}
simple,0,0,6,"('combine', 4, 15)",0,1,{'feedback': 'invalid combine'}
simple,0,0,7,"('combine', 7, 14)",0,1,{'feedback': 'invalid combine'}
simple,0,0,8,"('combine', 16, 9)",0,1,{'feedback': 'invalid combine'}
simple,0,0,9,"('combine', 1, 3)",0,1,"{'new_object': {'id': 17, 'shape': 'square', 'texture': 'checkered', 'color': 'yellow'}}"
simple,0,0,10,"('combine', 11, 8)",0,1,{'feedback': 'invalid combine'}
simple,0,0,11,"('combine', 7, 14)",0,1,{'feedback': 'invalid combine'}
simple,0,0,12,"('combine', 11, 17)",0,1,{'feedback': 'invalid combine'}
simple,0,0,13,"('combine', 12, 13)",0,1,"{'new_object': {'id': 18, 'shape': 'diamond', 'texture': 'dotted', 'color': 'yellow'}}"
simple,0,0,14,"('combine', 16, 14)",0,1,{'feedback': 'invalid combine'}
simple,0,0,15,"('combine', 16, 7)",0,1,{'feedback': 'invalid combine'}
simple,0,0,16,"('combine', 10, 14)",0,1,{'feedback': 'invalid combine'}
simple,0,0,17,"('combine', 18, 2)",0,1,{'feedback': 'invalid combine'}
simple,0,0,18,"('combine', 16, 18)",0,1,{'feedback': 'invalid combine'}
simple,0,0,19,"('combine', 11, 8)",0,1,{'feedback': 'invalid combine'}
simple,0,0,20,"('combine', 14, 18)",0,1,{'feedback': 'invalid combine'}
simple,0,0,21,"('combine', 2, 17)",0,1,{'feedback': 'invalid combine'}
simple,0,0,22,"('combine', 2, 9)",0,1,{'feedback': 'invalid combine'}
simple,0,0,23,"('combine', 18, 4)",0,1,{'feedback': 'invalid combine'}
simple,0,0,24,"('combine', 7, 18)",0,1,{'feedback': 'invalid combine'}
simple,0,0,25,"('combine', 7, 16)",0,1,{'feedback': 'invalid combine'}
simple,0,0,26,"('consume', 16)",1,2,{}
simple,0,0,27,"('combine', 7, 18)",0,2,{'feedback': 'invalid combine'}
simple,0,0,28,"('combine', 8, 11)",0,2,"{'new_object': {'id': 20, 'shape': 'triangle', 'texture': 'checkered', 'color': 'yellow'}}"
simple,0,0,29,"('combine', 18, 15)",0,2,{'feedback': 'invalid combine'}
simple,0,0,30,"('combine', 20, 15)",0,2,{'feedback': 'invalid combine'}
simple,0,0,31,"('combine', 20, 4)",0,2,{'feedback': 'invalid combine'}
simple,0,0,32,"('combine', 5, 10)",0,2,{'feedback': 'invalid combine'}
simple,0,0,33,"('consume', 15)",1,3,{}
simple,0,0,34,"('consume', 4)",1,4,{}
simple,0,0,35,"('combine', 20, 5)",0,4,{'feedback': 'invalid combine'}
simple,0,0,36,"('combine', 19, 18)",0,4,{'feedback': 'invalid combine'}
simple,0,0,37,"('combine', 6, 10)",0,4,{'feedback': 'invalid combine'}
simple,0,0,38,"('combine', 18, 20)",0,4,{'feedback': 'invalid combine'}
simple,0,0,39,"('combine', 9, 14)",0,4,{'feedback': 'invalid combine'}
