"","id","action_id","action","held","target","yield","points","token","condition"
"1",251,1,"combine","circle_dots_0","diamond_plain_0","",0,"D0G93ZG2","low-3"
"2",251,2,"combine","circle_dots_0","circle_stripes_0","",0,"D0G93ZG2","low-3"
"3",251,3,"combine","circle_dots_0","circle_checkered_0","",0,"D0G93ZG2","low-3"
"4",251,4,"combine","circle_dots_0","circle_checkered_0","",0,"D0G93ZG2","low-3"
"5",251,5,"combine","circle_dots_0","triangle_stripes_0","",0,"D0G93ZG2","low-3"
"6",251,6,"combine","circle_dots_0","square_dots_0","circle_dots_1",0,"D0G93ZG2","low-3"
"7",251,7,"combine","circle_dots_1","triangle_dots_0","",0,"D0G93ZG2","low-3"
"8",251,8,"consume","circle_dots_1","","",10,"D0G93ZG2","low-3"
"9",251,9,"combine","triangle_stripes_0","square_checkered_0","",0,"D0G93ZG2","low-3"
"10",251,10,"combine","triangle_stripes_0","circle_stripes_0","",0,"D0G93ZG2","low-3"
"11",251,11,"combine","triangle_stripes_0","diamond_plain_0","triangle_plain_1",0,"D0G93ZG2","low-3"
"12",251,12,"combine","triangle_plain_1","circle_plain_0","",0,"D0G93ZG2","low-3"
"13",251,13,"combine","triangle_plain_1","diamond_plain_0","triangle_plain_2",0,"D0G93ZG2","low-3"
"14",251,14,"consume","triangle_plain_2","","",100,"D0G93ZG2","low-3"
"15",251,15,"combine","triangle_plain_0","diamond_stripes_0","triangle_stripes_1",0,"D0G93ZG2","low-3"
"16",251,16,"combine","triangle_stripes_1","square_plain_0","",0,"D0G93ZG2","low-3"
"17",251,17,"combine","triangle_stripes_1","triangle_checkered_0","",0,"D0G93ZG2","low-3"
"18",251,18,"combine","triangle_stripes_1","triangle_checkered_0","",0,"D0G93ZG2","low-3"
"19",251,19,"combine","triangle_stripes_1","triangle_stripes_0","",0,"D0G93ZG2","low-3"
"20",251,20,"combine","triangle_stripes_1","triangle_dots_0","",0,"D0G93ZG2","low-3"
"21",251,21,"combine","triangle_stripes_1","circle_dots_0","",0,"D0G93ZG2","low-3"
"22",251,22,"combine","triangle_stripes_1","square_dots_0","",0,"D0G93ZG2","low-3"
"23",251,23,"combine","triangle_stripes_1","square_checkered_0","",0,"D0G93ZG2","low-3"
"24",251,24,"combine","triangle_stripes_1","circle_stripes_0","",0,"D0G93ZG2","low-3"
"25",251,25,"combine","triangle_stripes_1","square_checkered_0","",0,"D0G93ZG2","low-3"
"26",251,26,"combine","triangle_stripes_1","triangle_dots_0","",0,"D0G93ZG2","low-3"
"27",251,27,"combine","triangle_stripes_1","triangle_dots_0","",0,"D0G93ZG2","low-3"
"28",251,28,"combine","triangle_stripes_1","circle_dots_0","",0,"D0G93ZG2","low-3"
"29",251,29,"combine","triangle_stripes_1","triangle_plain_0","",0,"D0G93ZG2","low-3"
