"","X","id","condition","messageHow","messageRules","total_points","age","sex","engagement","difficulty","feedback","date","time","total_points_log","duration"
"1",1,2,"low","Match the right one!","good points are high",132,37,"female",10,4,"Good game!","2025_01_22","11_17_49",4.89034912822175,303
"2",2,3,"high","Try to get the purple crystals as getting higher tier crystals is exponentially better ","Merge with the same shape",100110,27,"male",8,3,"no","2025_01_22","11_22_50",11.5140348493757,246
"3",3,4,"low","Copy the information in the explanation to be able to read it again as there is no instructions when you start.","I could not find any pattern",31,50,"male",10,7,"Thank you for the chance to participate","2025_01_22","13_22_53",3.46573590279973,401
"4",4,5,"high","just continue too pair up the red shapes with the ones you create too make purple ","start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes ",400013,34,"female",9,5,"thoroughly enjoyed","2025_01_22","11_23_25",12.8992548254776,564
"5",5,6,"medium","Once you find a combo that works, max that out before moving on","Shape matching doesn't seem to be relevent (squares with squares etc)",0,57,"female",8,6,"none","2025_01_22","06_23_53",0,551
"6",6,7,"low","Circles and Squares tend to have the best fusion, usually the ones with solid patterns ","Circles and Squares tend to have the best fusion , usually the ones with solid patterns ",0,22,"female",8,10,"None","2025_01_22","13_24_31",0,607
"7",7,8,"high","You have to put together the same kind of shapes","triangles go with triangles, square with squarer, ecc",302002,27,"female",9,4,"it was fun","2025_01_22","12_24_50",12.6181922300825,642
"8",8,9,"low","I don't have any strategies to share","A solid square and solid circle gives 10 points, a solid triangle and solid diamond gives 10 points",65,48,"male",6,4,"I have no comments","2025_01_22","13_28_22",4.18965474202643,702
"9",9,10,"low","honeslty just keep trying random things","find the orange square ",30,22,"male",5,5,NA,"2025_01_22","22_29_21",3.43398720448515,396
"10",10,11,"medium","Combining crystals","the points multiplied",0,54,"female",4,8,"No","2025_01_22","13_29_22",0,882
"11",11,12,"medium","use arrows to cotrol the game ","using space bar to combine or fuse items",124,30,"male",9,2,"i enjoyed the game i wish it was long.","2025_01_22","13_29_37",4.8283137373023,566
"12",12,13,"low","Take your time and try to think before playing the game. Just because you are getting a hint it does not mean you will get a crystal.","WIth a cycle and a solid colur square you can get a crystal. It is always 2 different shapes that get you a crystal.",0,34,"female",8,7,"no","2025_01_22","13_30_56",0,689
"13",13,14,"low","i try to make variatons on the lines and points","some of them was random for me, even i think all of them, i don't undestrand how to hold the points :/",101,28,"male",9,8,"I want a good reward but im sure i failed ","2025_01_22","05_31_03",4.62497281328427,493
"14",14,15,"low","Match the same patterns together. ","Match the same patterns together, doesn't have to be the same shape. ",29,28,"female",9,8,"None ","2025_01_22","13_32_04",3.40119738166216,559
"15",15,16,"high","Pay close attention to which crystal combinations work
Remember that successful fusion creates a crystal worth 10x the original value","Crystals with similar shapes or geometric patterns seem more likely to fuse successfully",1,42,"male",10,7,"no","2025_01_22","11_33_57",0.693147180559945,816
"16",16,17,"medium","square plus circle no matter the patterns works well. Triangle plus diamond too. Dont fuse two of the same shape it never works. For example dont fuse two triangles or two circles.","the shapes never fuze with the same shape. For example cicle and circle",341,41,"female",10,8,"none","2025_01_22","11_34_57",5.8348107370626,957
"17",17,18,"high","you should be observant on the arrows","collect the items by using space",108,29,"female",10,3,"lovely game","2025_01_22","13_35_01",4.69134788222914,696
"18",18,19,"high","Match the same shapes first","match patterns that are similar first.",112,21,"female",7,9,"no","2025_01_22","13_37_15",4.72738781871234,1172
"19",19,20,"low","I have no idea","Did not notice anything",220,29,"female",5,10,"no","2025_01_22","13_39_04",5.39816270151775,242
"20",20,21,"medium","Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!","If you combine two shapes together and keep combing them, you move up in the crystal points rank",200021,21,"female",9,6,"-","2025_01_22","11_39_18",12.2061826394806,310
"21",21,22,"medium","I was just going randomly. ","N/a",100000,40,"female",10,8,"No comments. ","2025_01_22","11_39_51",11.5129354649202,346
"22",22,23,"low","Carefully read the rule. Even if they don't help you in action (","I didn't catch exactly what this game is leading to. It is not as it is described before",130,43,"female",5,5,"I would be great to show first several moves which lead to results and only then start the game","2025_01_22","13_41_13",4.87519732320115,381
"23",23,24,"medium","Remember to drop off your colours (if its a good one) pressing space before you try and merge again, its very possible to go backwards in colour tiers I think so you can potentially lose points rather than accidentally merge into a lower colour. Always check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best. ","I could not find any rules/patterns, everything seemed fairly random. ",101015,32,"male",9,7,"Fun! :D","2025_01_22","11_41_20",11.5230341991185,389
"24",24,25,"low","Dont hold down the space bar as you will quickly loose the number of turns","I don't think the actions to combine crystals was working or I didn't understand the rules correctly. Maybe add a test section to get people used to playing the game ",0,63,"male",8,8,"Maybe add a test section so that people can get used to playing the game","2025_01_22","11_41_22",0,338
"25",25,26,"low","Please follow rules and be patient","Same color",31,31,"male",8,8,"Good ","2025_01_22","13_41_22",3.46573590279973,1325
"26",26,27,"low","I was just picking randomly and hoping for the best, I found no noticable pattern","I seen no noticeable patterns ",1013,33,"male",7,9,"None","2025_01_22","11_41_48",6.92165818415113,287
