id,event_id,timestamp,action,x,y,actionsLeft,currentPoints,currentlyCarrying,token,assignment,version
5,event-1,2025-01-02T11:10:00.709Z,moveLeft,6,7,20,0,,E25PKM94,medium,0.1
5,event-2,2025-01-02T11:10:01.052Z,moveLeft,5,7,20,0,,E25PKM94,medium,0.1
5,event-3,2025-01-02T11:10:02.731Z,moveRight,6,7,20,0,,E25PKM94,medium,0.1
5,event-4,2025-01-02T11:10:03.025Z,moveRight,7,7,20,0,,E25PKM94,medium,0.1
5,event-5,2025-01-02T11:10:03.185Z,moveRight,8,7,20,0,,E25PKM94,medium,0.1
5,event-6,2025-01-02T11:10:04.758Z,moveUp,8,6,20,0,,E25PKM94,medium,0.1
5,event-7,2025-01-02T11:10:05.001Z,moveUp,8,5,20,0,,E25PKM94,medium,0.1
5,event-8,2025-01-02T11:10:05.169Z,moveUp,8,4,20,0,,E25PKM94,medium,0.1
5,event-9,2025-01-02T11:10:05.375Z,moveUp,8,3,20,0,,E25PKM94,medium,0.1
5,event-10,2025-01-02T11:10:05.684Z,moveUp,8,2,20,0,,E25PKM94,medium,0.1
5,event-11,2025-01-02T11:10:06.040Z,moveLeft,7,2,20,0,,E25PKM94,medium,0.1
5,event-12,2025-01-02T11:10:08.182Z,moveRight,8,2,20,0,,E25PKM94,medium,0.1
5,event-13,2025-01-02T11:10:08.380Z,moveRight,9,2,20,0,,E25PKM94,medium,0.1
5,event-14,2025-01-02T11:10:08.545Z,moveRight,10,2,20,0,,E25PKM94,medium,0.1
5,event-15,2025-01-02T11:10:08.713Z,moveRight,11,2,20,0,,E25PKM94,medium,0.1
5,event-16,2025-01-02T11:10:08.896Z,moveRight,12,2,20,0,,E25PKM94,medium,0.1
5,event-17,2025-01-02T11:10:09.978Z,moveDown,12,3,20,0,,E25PKM94,medium,0.1
5,event-18,2025-01-02T11:10:10.146Z,moveDown,12,4,20,0,,E25PKM94,medium,0.1
5,event-19,2025-01-02T11:10:10.319Z,moveDown,12,5,20,0,,E25PKM94,medium,0.1
5,event-20,2025-01-02T11:10:13.776Z,pickUp,12,5,20,0,triangle_checkered_0,E25PKM94,medium,0.1
5,event-21,2025-01-02T11:10:15.467Z,moveLeft,11,5,20,0,triangle_checkered_0,E25PKM94,medium,0.1
