id,condition,messageHow,messageRules,total_points
2,hard,Match the right one!,good points are high,132
3,easy,Try to get the purple crystals as getting higher tier crystals is exponentially better ,Merge with the same shape,100110
4,hard,Copy the information in the explanation to be able to read it again as there is no instructions when you start.,I could not find any pattern,31
5,easy,just continue too pair up the red shapes with the ones you create too make purple ,"start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes ",400013
6,medium-1,"Once you find a combo that works, max that out before moving on",Shape matching doesn't seem to be relevent (squares with squares etc),0
7,hard,"Circles and Squares tend to have the best fusion, usually the ones with solid patterns ","Circles and Squares tend to have the best fusion , usually the ones with solid patterns ",0
8,easy,You have to put together the same kind of shapes,"triangles go with triangles, square with squarer, ecc",302002
9,hard,I don't have any strategies to share,"A solid square and solid circle gives 10 points, a solid triangle and solid diamond gives 10 points",65
10,hard,honeslty just keep trying random things,find the orange square ,30
11,medium-1,Combining crystals,the points multiplied,0
12,medium-1,use arrows to cotrol the game ,using space bar to combine or fuse items,124
13,hard,Take your time and try to think before playing the game. Just because you are getting a hint it does not mean you will get a crystal.,WIth a cycle and a solid colur square you can get a crystal. It is always 2 different shapes that get you a crystal.,0
14,hard,i try to make variatons on the lines and points,"some of them was random for me, even i think all of them, i don't undestrand how to hold the points :/",101
15,hard,Match the same patterns together. ,"Match the same patterns together, doesn't have to be the same shape. ",29
16,easy,"Pay close attention to which crystal combinations work
Remember that successful fusion creates a crystal worth 10x the original value",Crystals with similar shapes or geometric patterns seem more likely to fuse successfully,1
17,medium-1,square plus circle no matter the patterns works well. Triangle plus diamond too. Dont fuse two of the same shape it never works. For example dont fuse two triangles or two circles.,the shapes never fuze with the same shape. For example cicle and circle,341
18,easy,you should be observant on the arrows,collect the items by using space,108
19,easy,Match the same shapes first,match patterns that are similar first.,112
20,hard,I have no idea,Did not notice anything,220
21,medium-1,"Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!","If you combine two shapes together and keep combing them, you move up in the crystal points rank",200021
22,medium-1,I was just going randomly. ,N/a,100000
23,hard,Carefully read the rule. Even if they don't help you in action (,I didn't catch exactly what this game is leading to. It is not as it is described before,130
24,medium-1,"Remember to drop off your colours (if its a good one) pressing space before you try and merge again, its very possible to go backwards in colour tiers I think so you can potentially lose points rather than accidentally merge into a lower colour. Always check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best. ","I could not find any rules/patterns, everything seemed fairly random. ",101015
25,hard,Dont hold down the space bar as you will quickly loose the number of turns,I don't think the actions to combine crystals was working or I didn't understand the rules correctly. Maybe add a test section to get people used to playing the game ,0
26,hard,Please follow rules and be patient,Same color,31
27,hard,"I was just picking randomly and hoping for the best, I found no noticable pattern",I seen no noticeable patterns ,1013
28,hard,try   match them  if can ,no sure ,5
29,medium-1,nothing works,the plain goes with the dots ,1
30,easy,Match same shapes,Try to match or fuse the same shapes. for example: Tringle with Triangle,1
31,medium-1,I formed the most new crystals by combining a square crystal with a round one. ,"I didn't know if it was a pattern or coincidence, but combining a square with a circle formed a new crystal. ",100042
32,easy,Long space adds extra points,Long spacing,1133
33,hard,Use the found receipes along the side to find the best pairings and notice how many points you get once fused.,n/a,121
34,hard,Find successful crystal combinations and then drop them. Pair the dropped combinations to create more combinations.,Combinations always take on the shape of the first crystal. Combinations always take on the texture of the second crystal.,111
35,medium-1,Just experiment to find which combinations fuse: not many do. ,Fusions seem to occur when a circle is combined with a square. But not all combinations of circles and squares fuse. ,0
36,hard,I really don't understand this game. I thought I was playing it right but I didn't do very well. Tip: start with the closest gem and move outwards. Make lots of variations.,that I was not doing it right! Shapes that are the same don't seem to combine well.,26
37,medium-1,"
Remember to harvest the highest scoring symbols you find by the end of the moves, so keep track of the number of moves","
I noticed that not all symbols of the same color combined and above all that equal symbols do not necessarily combine",140
38,easy,"Same shape fuses and increases the harvest
Ensure you drop high value harvest to free the space hover",Same shape fused and increased harvest,300000
39,easy,"You will need to focus more, dont rush into finishing","when collecting, combining, and harvesting crystals make sure you pay attension inorder to get the correct patterns",110000
40,easy,pay attention to pieces in your hand beforr merging ,blue circle plus red equals purple circle,100000
41,hard,No identified pattern on how the fusion can yield more pointd,None. Random confusion ,0
42,medium-1,collecting the green circles is more valuable since it gives you more points,i noticed collecting the diamonds gives less points than the circles and rectangles,111
43,easy,"Combine forms: no mattern + a pattern = leads to a orange symbol 

As soon as youas holding an orange symbol (by picking one symbol with no pattern, and the same symbol with one pattern), pick a third symbol with squared-pattern, this will lead to a yellow. ","Same format:
1. Pattern + Non-pattern = Orange 
2. Orange + Squared-pattern = yellow",382
44,easy,start with the same shapes,I have not noticed a pattern accept selecting the same shapes to morph,300031
45,hard,I tried to combine the crystals in accordance to the matching patterns.  ,They are best combined when they look alike.,1018
46,hard,A square with a pattern in and a solid red circle gave me more points,Diamond circle and square circle seemed to give me more points,175
47,easy,Gems of the same shape merge to make new gems.  Colour and pattern doesn't seem to matter.,Merging gems of the same shape produced new gems.  Attempting to merge gems of differing shapes failed every time in my trials.,400031
48,hard,Make sure that your patterns in your shapes somehow correspond to each other to make a match,I noticed that shapes are almost similar when playing and doing the game,1105
49,hard,"Don't fuse two items of the same shape, rectangles fuse with circles, triangles fuse with rhombus","Rectangles fuse with circles, triangles fuse with rhombus",0
50,hard,Don't press spacebar when carrying an item on an empty square as this will bank that item,In this particular game the only combo I found was square and circle,27
51,easy,the higher energy crystals have to fuse with crystals that have higher energy than them,the rule is that if the crystal has lower energy it can fuse with a crystal that has an energy that is higher than theirs,0
52,medium-1,"SQUARE AND CIRCLE OF DIFFERENT PATTERNS CAN FUSE, TRIANGLE AND DIAMOND OF DIFFERENT PATTERNS CAN FUSE","SQUARE AND CIRCLE OF DIFFERENT PATTERNS CAN FUSE, TRIANGLE AND DIAMOND OF DIFFERENT PATTERNS CAN FUSE",112
53,hard,Keep trying new recipes,I didn't find any.,100
54,easy,trying to move as quickly as possible is the trick to get more points ,mostly the same shapes were combining as compared to different shapes,11000
55,medium-1,be attentive and focused. don't look for identical figures with identical patterns.,items must have the same pattern,7
56,hard,Be methodical in trying the combinations.,Check the hint box as it shows what you have tried previously.  None of the shapes shown combine with a green crystal to make another colour.,0
57,medium-1,"Chose a starting shape like circle. Try matching with another circle first and if it fuses keep choosing circle. If not, then chose another shape until you find the fusing match. When you get to purple drop it and find another match. Make sure to cash in the purple when you only have a few moves left.","I found that the patterns didn't make much difference, but once I found a matching pair, for example square and circle, I could hold a square and click any circle and it would fuse.",301101
58,hard,"Try harvesting thred and four sided shapes, they seem to combine better",Like shapes and patterns typically won't combine. Triangles and diamonds more likely.,100
59,easy,Matching the same shapes with different patterns lets you fuse them for bonus points.,"Different shapes don't fuse together, similar ones do.",119
60,hard,be patient and do not cash in any item before finding patters.,"circles and squares need to have the same pattern. rhombus and triangles have to not have the same pattern or dotted pattern with lines. Also it's important to pay attention to what the order the items are fused, fusing a square with a circle creates a square while fusing a circle with a square creates a circle.",350
61,easy,This game was enjoyable and when fusing together try to make sure they are the same pattern.,when fusing together try to make sure they are the same pattern.,11
62,easy,picking same shapes will be helpful,combining 2 or more with same shape will give us points,213
63,medium-1,I have no tips,It appears to be random,1006
64,medium-1,"When you find a combination of two objects, make note of the pattern inside the newly created object, fuse the new object (the one that you're holding) with the same shaped object that allowed you to create the new object, but with a different pattern than the new object.","I noticed that the pattern on the inside of the object that is combined with the held object is retained when combining, while the held object's shape was retained when combining.",200002
65,hard,Circle and square matched patterns equals orange crystal,Circle and square matched patterns equals orange crystal,76
66,medium-1,do not be afraid to use your points,the solid colours mixed with the striped ones severally can produce new colours,1011
67,easy,"try to get as many purple shapes as possible, don't activate other colours, be sure not to double tap space by accident because you gonna activate them","2 of lesser color = 1 of higher, BUT
red + orange = light green
red + light green = dark green
orange + green = blue
red + blue = purple",210040
